Date,Payee,Notes,Amount
2026-03-01,Whole Foods Market,Grocery run,-85.42
2026-03-02,Netflix,Monthly subscription,-15.99
2026-03-03,Employer Direct Deposit,March salary,3500.0
2026-03-04,Con Edison,Electric bill,-102.5
2026-03-05,Amazon,USB-C cable,-12.99
2026-03-06,Starbucks,Morning coffee,-6.75
2026-03-08,CVS Pharmacy,Medicine,-23.1
2026-03-09,Spotify,Monthly subscription,-9.99
2026-03-10,Trader Joe's,Weekly groceries,-64.3
2026-03-11,MTA MetroCard,Monthly subway pass,-132.0
2026-03-12,Verizon,Phone bill,-45.0
2026-03-14,Chipotle,Lunch,-14.25
2026-03-15,Freelance Payment,Side project payout,500.0
2026-03-16,Planet Fitness,Gym membership,-24.99
2026-03-17,Target,Household items,-37.8
2026-03-18,Uber,Ride to JFK,-28.5
2026-03-19,Duane Reade,Toiletries,-18.4
2026-03-20,Shake Shack,Dinner,-19.99
2026-03-21,Venmo Transfer,Split dinner with friends,-22.0
2026-03-22,Hulu,Monthly subscription,-17.99
2026-03-24,Home Depot,Light bulbs,-15.65
2026-03-25,IKEA,Desk organizer,-49.99
2026-03-26,Whole Foods Market,Grocery run,-72.15
2026-03-28,Chase ATM Withdrawal,Cash,-60.0
2026-03-29,Dividend Income,Investment dividend,45.0
2026-03-30,Con Edison,Gas bill,-54.0
2026-03-31,Paypal Transfer,Reimbursement,30.0
2026-04-01,Paypal Transfer,Reimbursement,26.69
2026-04-02,Freelance Payment,Side project payout,356.27
2026-04-03,Uber,Local ride,-33.95
2026-04-04,Chipotle,Lunch,-13.26
2026-04-05,Best Buy,Electronics accessory,-74.56
2026-04-06,Home Depot,Home supplies,-39.75
2026-04-07,Whole Foods Market,Grocery run,-89.38
2026-04-08,Uber,Local ride,-23.34
2026-04-09,Whole Foods Market,Grocery run,-61.33
2026-04-10,Dividend Income,Investment dividend,46.44
2026-04-11,Planet Fitness,Gym membership,-25.8
2026-04-12,Netflix,Monthly subscription,-16.64
2026-04-13,Chase ATM Withdrawal,Cash,-47.84
2026-04-14,Employer Direct Deposit,Payroll deposit,3683.49
2026-04-15,Dividend Income,Investment dividend,34.4
2026-04-16,Lyft,Ride home,-30.27
2026-04-17,Employer Direct Deposit,Payroll deposit,3401.96
2026-04-18,Starbucks,Morning coffee,-7.1
2026-04-19,Con Edison,Utility bill,-56.44
2026-04-20,IKEA,Apartment purchase,-116.93
2026-04-21,Trader Joe's,Weekly groceries,-44.86
2026-04-22,Planet Fitness,Gym membership,-28.75
